"OWNER RE","RESOURCE NAME","TYPE","SPLIT GEN RESOURCE","DME","DME DUNS","RMR"
"LUMINANT GENERATION COMPANY LLC (RE)","MLSES_UNIT1","Generation","Not Applicable","LUMINANT ENERGY COMPANY LLC (DME)","6062523937000","N"
"LUMINANT GENERATION COMPANY LLC (RE)","MLSES_UNIT2","Generation","Not Applicable","LUMINANT ENERGY COMPANY LLC (DME)","6062523937000","N"
"LUMINANT GENERATION COMPANY LLC (RE)","MLSES_UNIT3","Generation","Not Applicable","LUMINANT ENERGY COMPANY LLC (DME)","6062523937000","N"
"LUMINANT GENERATION COMPANY LLC (RE)","PB2SES_CT1","Generation","Not Applicable","LUMINANT ENERGY COMPANY LLC (DME)","6062523937000","N"
"LUMINANT GENERATION COMPANY LLC (RE)","PB2SES_CT2","Generation","Not Applicable","LUMINANT ENERGY COMPANY LLC (DME)","6062523937000","N"
"LUMINANT GENERATION COMPANY LLC (RE)","PB2SES_CT3","Generation","Not Applicable","LUMINANT ENERGY COMPANY LLC (DME)","6062523937000","N"
"LUMINANT GENERATION COMPANY LLC (RE)","PB2SES_CT4","Generation","Not Applicable","LUMINANT ENERGY COMPANY LLC (DME)","6062523937000","N"
"LUMINANT GENERATION COMPANY LLC (RE)","PB2SES_CT5","Generation","Not Applicable","LUMINANT ENERGY COMPANY LLC (DME)","6062523937000","N"
"LUMINANT GENERATION COMPANY LLC (RE)","SCSES_UNIT1A","Generation","Not Applicable","LUMINANT ENERGY COMPANY LLC (DME)","6062523937000","N"
"LUMINANT GENERATION COMPANY LLC (RE)","SCSES_UNIT2","Generation","Not Applicable","LUMINANT ENERGY COMPANY LLC (DME)","6062523937000","N"
"LUMINANT GENERATION COMPANY LLC (RE)","TRSES_UNIT6","Generation","Not Applicable","LUMINANT ENERGY COMPANY LLC (DME)","6062523937000","N"
"MADERO GRID LLC (RE)","MADERO_ESR1","Storage","Not Applicable","MADERO GRID LLC (DME)","1175233547000","N"
"MAGIC VALLEY WIND FARM I LLC (RE)","REDFISH_MV1A","Generation","Not Applicable","RWE CLEAN ENERGY LLC (DME)","1680625407000","N"
"MAGIC VALLEY WIND FARM I LLC (RE)","REDFISH_MV1B","Generation","Not Applicable","RWE CLEAN ENERGY LLC (DME)","1680625407000","N"
"MAJOR OAK POWER LLC (RE)","TNP_ONE_TNP_O_1","Generation","Not Applicable","MAJOR OAK POWER LLC (DME)","0795103077000","N"
"MAJOR OAK POWER LLC (RE)","TNP_ONE_TNP_O_2","Generation","Not Applicable","MAJOR OAK POWER LLC (DME)","0795103077000","N"
"MALLARD ENERGY STORAGE LLC (RE)","DRAK_ESS_ESR1","Storage","Not Applicable","MALLARD ENERGY STORAGE LLC (DME)","1448488377000","N"
