RESOURCE_NODE,UNIT_SUBSTATION,UNIT_NAME
CST2_SLR_RN,CST2_SLR,SOLAR1
CST2_SLR_RN,CST2_SLR,SOLAR2
CS_RN,CS,ESR1
CTW_RN,CTW,ESR1
CTW_RN,CTW,SOLAR1
CTW_RN,CTW,SOLAR2
CVC_CVCG1_5,CVC,CVC_G1
CVC_CVCG1_5,CVC,CVC_G5
CVC_CVC_G2,CVC,CVC_G2
CVC_CVC_G3,CVC,CVC_G3
DAG_ALL,DAG,UNIT1
DAG_ALL,DAG,UNIT2
DANSBY_ALL,DANSBY,DANSBYG1
DANSBY_ALL,DANSBY,DANSBYG2
DANSBY_ALL,DANSBY,DANSBYG3
DAN_ALL,DAN,ESR1
DAN_ALL,DAN,ESR2
DAN_ALL,DAN,UNIT1
DAN_ALL,DAN,UNIT2
DAN_ALL,DAN,UNIT3
DA_BESS,DA,ESR1
DA_BESS2,DA,ESR2
DA_BESS2,DA,ESR3
DC2SES_ALL,DCSES,CT10
DC2SES_ALL,DCSES,CT20
DC2SES_ALL,DCSES,CT30
DC2SES_ALL,DCSES,CT40
DC2SES_ALL,DCSES,ESR1
DC2SES_ALL,DCSES,ESR2
DC2SES_ALL,DCSES,ESR3
DC2SES_ALL,DCSES,ESR4
DDPEC_GT1,DDPEC,GT1
DDPEC_GT2,DDPEC,GT2
DDPEC_GT3,DDPEC,GT3
DDPEC_GT4,DDPEC,GT4
DDPEC_GT6,DDPEC,GT6
DDPEC_ST1,DDPEC,ST1
DECKER_GT,DECKER,DPGT_1
DECKER_GT,DECKER,DPGT_2
DECKER_GT,DECKER,DPGT_3
DECKER_GT,DECKER,DPGT_4
DENISON_G1_2,DNDAM,DENISOG1
DENISON_G1_2,DNDAM,DENISOG2
DERMOTT_ALL,COYOTE_W,UNIT1
DERMOTT_ALL,COYOTE_W,UNIT2
DERMOTT_ALL,COYOTE_W,UNIT3
DERMOTT_ALL,DERMOTT,UNIT1
DERMOTT_ALL,DERMOTT,UNIT2
DESN_ESS_RN,DESN_ESS,ESR1
DGFS_ESR_RN,DGFS_ESR,ESR1
DIBOL_RN,DIBOL,ESR1
DIB_DIB_G1,DIB,DIB_G1
DIB_DIB_G2,DIB,DIB_G2
DIB_DIB_G3,DIB,DIB_G3
DIB_DIB_G4,DIB,DIB_G4
DILEOS_UNIT1,DILEOSLR,UNIT1
DIVR_SLR_RN,DIVR_SLR,SOLAR1
