interval_ct,settlement_point,lmp,system_lambda,congestion
2025-07-23 01:00:00,FENCESLR_ALL,26.17,26.0907,0.0793
2025-07-23 01:00:00,FERGCC_CC1,27.96,26.0907,1.8693
2025-07-23 01:00:00,FERGCC_GT1_1,27.96,26.0907,1.8693
2025-07-23 01:00:00,FERGCC_GT2_3,27.96,26.0907,1.8693
2025-07-23 01:00:00,FERGCC_ST1_5,27.96,26.0907,1.8693
2025-07-23 01:00:00,FERMI_ALL,45.11,26.0907,19.0193
2025-07-23 01:00:00,FILESSLR_PV1,26.15,26.0907,0.0593
2025-07-23 01:00:00,FIVEWSLR_ALL,26.9,26.0907,0.8093
2025-07-23 01:00:00,FLCNS_UNIT1,37.41,26.0907,11.3193
2025-07-23 01:00:00,FLCNS_UNIT2,37.41,26.0907,11.3193
2025-07-23 01:00:00,FLCNS_UNIT3,37.41,26.0907,11.3193
2025-07-23 01:00:00,FLOWERII_RN,52.37,26.0907,26.2793
2025-07-23 01:00:00,FLTBES1,52.37,26.0907,26.2793
2025-07-23 01:00:00,FLTCK_SSI,26.78,26.0907,0.6893
2025-07-23 01:00:00,FLUVANNA_1_2,21.72,26.0907,-4.3707
2025-07-23 01:00:00,FLVABES1_ESR,52.37,26.0907,26.2793
2025-07-23 01:00:00,FOARDCTY_ALL,23.94,26.0907,-2.1507
2025-07-23 01:00:00,FORMOSA_CC1,26.88,26.0907,0.7893
2025-07-23 01:00:00,FORMOSA_CC2,26.88,26.0907,0.7893
2025-07-23 01:00:00,FORMOSA_PUN1,26.88,26.0907,0.7893
2025-07-23 01:00:00,FORMOSA_PUN2,26.88,26.0907,0.7893
2025-07-23 01:00:00,FORTMA_RN,28.41,26.0907,2.3193
2025-07-23 01:00:00,FOXTROT_ALL,27.22,26.0907,1.1293
2025-07-23 01:00:00,FO_FORMOSA11,26.88,26.0907,0.7893
2025-07-23 01:00:00,FO_FORMOSA12,26.88,26.0907,0.7893
2025-07-23 01:00:00,FO_FORMOSG1,26.88,26.0907,0.7893
2025-07-23 01:00:00,FO_FORMOSG10,26.88,26.0907,0.7893
2025-07-23 01:00:00,FO_FORMOSG13,26.88,26.0907,0.7893
2025-07-23 01:00:00,FO_FORMOSG14,26.88,26.0907,0.7893
2025-07-23 01:00:00,FO_FORMOSG15,26.88,26.0907,0.7893
2025-07-23 01:00:00,FO_FORMOSG2,26.88,26.0907,0.7893
2025-07-23 01:00:00,FO_FORMOSG3,26.88,26.0907,0.7893
2025-07-23 01:00:00,FO_FORMOSG4,26.88,26.0907,0.7893
2025-07-23 01:00:00,FO_FORMOSG5,26.88,26.0907,0.7893
2025-07-23 01:00:00,FO_FORMOSG6,26.88,26.0907,0.7893
2025-07-23 01:00:00,FO_FORMOSG7,26.88,26.0907,0.7893
2025-07-23 01:00:00,FO_FORMOSG8,26.88,26.0907,0.7893
2025-07-23 01:00:00,FO_FORMOSG9,26.88,26.0907,0.7893
2025-07-23 01:00:00,FPPYD_FPP_G1,27.42,26.0907,1.3293
